Date : 2022-12-30 21:56:24
Directory : /Users/juanma/development/flutter/release-untitled-startup/untitled_server
Total : 194 files,  19966 codes, 754 comments, 1653 blanks, all 22373 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/ReplyTagNotification.js                 | JavaScript         |         78 |          1 |          0 |         79 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/ReplyUserTags.js                        | JavaScript         |         61 |          1 |          0 |         62 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/User.js                                 | JavaScript         |        263 |          1 |          0 |        264 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/UserSearches.js                         | JavaScript         |         60 |          1 |          0 |         61 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/Videogame.js                            | JavaScript         |         79 |          1 |          0 |         80 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/VideogameGenre.js                       | JavaScript         |         55 |          1 |          0 |         56 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/VideogameGenrePost.js                   | JavaScript         |         54 |          1 |          0 |         55 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/VideogameGenreUserPreferences.js        | JavaScript         |         60 |          1 |          0 |         61 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/VideogameGenreVideogame.js              | JavaScript         |         56 |          1 |          0 |         57 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/entities/VideogameUserPreferences.js             | JavaScript         |         60 |          1 |          0 |         61 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/index.js                                         | JavaScript         |         99 |          1 |          0 |        100 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/middleware/isAuth.js                             | JavaScript         |         21 |          1 |          0 |         22 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/migrations/1646956490605-AlmostDoneClivy.js      | JavaScript         |        208 |          1 |          0 |        209 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/migrations/1648777445823-replyPostIdField.js     | JavaScript         |         46 |          1 |          0 |         47 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/myContext.js                                     | JavaScript         |          2 |          1 |          0 |          3 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/comment.js                             | JavaScript         |        313 |          1 |          3 |        317 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/like.js                                | JavaScript         |         31 |          1 |          0 |         32 |
